assigned_structure,feature_name,feature_kind,group_mean,rest_mean,effect_size,p_value,fdr,n_group_tiles,n_rest_tiles
S1,embedding__89,embedding,0.68798828125,-0.26513671875,0.953125,0.0,0.0,866,2248
S1,embedding__403,embedding,-0.6875,0.264404296875,-0.9521484375,0.0,0.0,866,2248
S1,embedding__419,embedding,-0.6875,0.264892578125,-0.9521484375,0.0,0.0,866,2248
S1,embedding__58,embedding,0.68701171875,-0.264404296875,0.951171875,0.0,0.0,866,2248
S4,embedding__29,embedding,-0.5888671875,0.362548828125,-0.951171875,0.0,0.0,1184,1930
S5,embedding__349,embedding,0.91259765625,-0.0384521484375,0.951171875,1.7903188383229548e-24,4.3146188070387e-24,127,2987
S1,embedding__457,embedding,-0.685546875,0.263671875,-0.94921875,0.0,0.0,866,2248
S5,embedding__164,embedding,0.91064453125,-0.038604736328125,0.94921875,1.6905409418763884e-19,3.667757155691915e-19,127,2987
S5,embedding__196,embedding,0.91064453125,-0.0382080078125,0.94873046875,1.6180478494435927e-30,4.380814198182341e-30,127,2987
S4,embedding__379,embedding,0.58740234375,-0.360595703125,0.9482421875,0.0,0.0,1184,1930
