cell_id,x,y,celltype,pathway,score
agakdlfo-1,2994.206298828125,5265.97509765625,Basal-like Structured DCIS Cells,MacrophageProgram,0.25
agakfgfc-1,2989.72216796875,5257.25634765625,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
agbghllg-1,3642.83251953125,5727.74755859375,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
agcaadnc-1,3521.5869140625,5794.9169921875,Basal-like Structured DCIS Cells,MacrophageProgram,0.25
agcemgge-1,3601.41357421875,5614.8408203125,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
agcfjcjc-1,3597.209228515625,5608.28515625,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
agcjbhhn-1,3498.8876953125,5673.546875,Myoepithelial Cells,MacrophageProgram,0.16666666666666669
agcjoobh-1,3517.727294921875,5677.72119140625,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
agckmngp-1,3564.097412109375,5684.3701171875,Endothelial Cells,MacrophageProgram,0.25
agcmmoci-1,3520.43310546875,5653.6083984375,Macrophages,MacrophageProgram,0.33333333333333337
agcmngjj-1,3518.88427734375,5649.01708984375,Myoepithelial Cells,MacrophageProgram,0.25
agcnhimb-1,3504.4638671875,5681.0478515625,B Cells,MacrophageProgram,0.16666666666666669
agebjfdi-1,4140.60302734375,5252.85009765625,Dendritic Cells,MacrophageProgram,0.9166666666666667
agecipcp-1,4112.82568359375,5263.380859375,B Cells,MacrophageProgram,0.16666666666666669
agefeajf-1,4081.821533203125,5189.4296875,11q13 Invasive Tumor Cells,MacrophageProgram,0.16666666666666669
agekicea-1,3504.0107421875,5538.4619140625,T Lymphocytes,MacrophageProgram,0.16666666666666669
agemkmbc-1,3990.61865234375,5637.29638671875,Macrophages,MacrophageProgram,0.33333333333333337
agepclog-1,3643.27685546875,5595.71435546875,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
agfdakhm-1,3474.281494140625,5522.56591796875,Basal-like Structured DCIS Cells,MacrophageProgram,0.25
agfecbam-1,3479.874267578125,5515.88671875,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
agfgceen-1,3482.906005859375,5530.2373046875,Dendritic Cells,MacrophageProgram,0.6666666666666667
