cell_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
lndoeoee-1,0.7691300253092852,0.38419716739490417,0.0,0.21157282706003444,0.482919140147832,0.0,0.0,0.0,0.0,0.0
lngokfha-1,0.13548908659546657,0.2030278809592578,0.0,0.0,0.0,0.0,0.0,0.5857855391442208,0.16961904102334266,0.21175767745375373
lnhkgpnb-1,0.0,0.0,0.0,0.0,0.3897546445799651,0.0,0.0,0.533155751495206,0.0,0.46383802800119284
lnhofdhi-1,0.0,0.1562844416863344,0.0,0.0,0.19982397228573312,0.3429220643157978,0.3128570689361596,0.5271529596023741,0.5786515919625937,0.35398016158778073
lninhbib-1,0.3066067448406725,0.17524077848173597,0.0,0.1536318154717719,0.0,0.0,0.0,0.0,0.0,0.0
lnjmbgel-1,0.631649001580238,0.5926114568679411,0.06389070589134484,0.3575854849398671,0.33118644892772736,0.037049890192783756,0.0,0.0,0.04632606175992712,0.05783489391684099
lnkfdjdi-1,0.09492192897745491,0.0,0.0,0.31970308366606676,0.24121125118683032,0.0,0.0,0.1562664120992665,0.0,0.14835473265614715
lnnklakj-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lnnmboci-1,0.531283470907584,0.30318069652303864,0.0,0.3026189913234007,0.548352882626344,0.0,0.0,0.0,0.0,0.0
lnnpjakc-1,0.8457341999141208,0.527061433511267,0.0,0.36378533762856025,0.13297176941825586,0.0,0.0,0.0,0.0,0.0
lnpolkkg-1,0.675046762120347,0.37579352846374486,0.0,0.3905204021970489,0.20672796162596338,0.0,0.0,0.0,0.0,0.0
logkifca-1,0.11563304745722484,0.1398322217091584,0.71655124743585,0.41253645143138884,0.23902704276377668,0.36925960700890337,0.5271317692511577,0.13624377301528848,0.4248640393778058,0.6397873066048096
lohljppe-1,0.340233351343645,0.0,0.0,0.24218227587851973,0.0,0.0,0.0,0.0,0.0,0.0
loidmppk-1,0.5151673250985381,0.22769717618324392,0.0,0.2119023398827427,0.1930666621555381,0.0,0.0,0.0,0.0,0.0
lokddico-1,0.0,0.0,0.0,0.40706116299475037,0.0,0.10341246503979701,0.0,0.0,0.12930381756200263,0.48428070211289725
lokibffl-1,0.0,0.0,0.0,0.08581623974928275,0.16599810542730298,0.10508405914522989,0.33527784540131467,0.0,0.3559116082880863,0.44643418586404565
lolnfkfh-1,0.0,0.0,0.15014099491690122,0.0,0.22097732013233948,0.36772005096731125,0.0,0.14315805254724803,0.4268884508636595,0.5470668388992049
lomgacoe-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2191872858030782,0.0
lpaeoadn-1,0.18253663284914176,0.1823518370668993,0.10505370498329097,0.07993300425254699,0.15461790572274814,0.0,0.07287800076668081,0.0,0.15234530147285127,0.4575021367340984
lpbacbbg-1,0.5548485195858397,0.434411239254612,0.0,0.3298879415509791,0.5204107083724554,0.0,0.0,0.0,0.0,0.0
lpbakfem-1,0.7020859430926222,0.5455480234680479,0.0,0.1717273311176414,0.5700139223692178,0.05150578071883067,0.0,0.08468826355751834,0.0,0.08040054500776457
lpbiioml-1,0.07933263131261593,0.0,0.13697283743069108,0.1042195551177587,0.20159644315071398,0.4644697374105852,0.3930881749182932,0.17293944587671053,0.5621557380431025,0.24798002813632644
lpcoajcb-1,0.5038262077398379,0.35688580007245413,0.11990787212528617,0.45699044649779547,0.2977997713303531,0.1173343537438723,0.2020804289115418,0.0,0.11953634373367461,0.24608899081262747
